学生番号【ダミー】,年度,Q01_所属学部,Q01_所属学部_ラベル,Q02_学年,Q03_履修科目数,Q04_授業時間外学習時間,Q04_授業時間外学習時間_ラベル,Q05_授業の理解度,Q05_授業の理解度_ラベル,Q06_授業の満足度,Q06_授業の満足度_ラベル,Q07_課題が多い,Q07_課題が多い_ラベル,Q08_あなたの学生生活は充実していますか,Q08_あなたの学生生活は充実していますか_ラベル,Q09_教員とのコミュニケーション,Q09_教員とのコミュニケーション_ラベル,Q10_他の学生とのコミュニケーション,Q10_他の学生とのコミュニケーション_ラベル,Q11_図書館の設備,Q11_図書館の設備_ラベル,Q12_学内のICT環境について,Q12_学内のICT環境について_ラベル,GPA,TOEIC
"18A001",2020.000,3,"保健学部","3年生",9,6,"11-15 時間",2,"あまり理解できなかった",1,"とても不満",4,"ややそう思う",4,"充実している",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",2,"不満",1,"とても不満",2.260,408.000
"18A002",2020.000,1,"文学部","3年生",8,5,"6-10 時間",2,"あまり理解できなかった",2,"不満",4,"ややそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",2,"不満",2,"不満",3.080,606.000
"18A003",2020.000,2,"商学部","3年生",10,7,"16-20 時間",4,"よく理解できた",3,"どちらでもない",5,"とてもそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",3,"いくらかうまくいった",3,"どちらでもない",3,"どちらでもない",3.180,645.000
"18A004",2020.000,3,"保健学部","3年生",12,7,"16-20 時間",5,"大変よく理解できた",4,"満足",5,"とてもそう思う",1,"充実していない",3,"いくらかうまくいった",2,"あまりうまくいかなかった",4,"満足",4,"満足",1.260,507.000
"18A005",2020.000,1,"文学部","3年生",8,6,"11-15 時間",5,"大変よく理解できた",5,"とても満足",4,"ややそう思う",4,"充実している",4,"とてもうまくいった",4,"とてもうまくいった",5,"とても満足",5,"とても満足",2.930,456.000
"18A006",2020.000,2,"商学部","3年生",8,5,"6-10 時間",4,"よく理解できた",5,"とても満足",3,"どちらでもない",2,"あまり充実していない",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",1,"とても不満",2,"不満",2.310,379.000
"18A007",2020.000,3,"保健学部","3年生",6,8,"20 時間以上",3,"どちらでもない",2,"不満",2,"あまりそう思わない",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",2,"不満",3,"どちらでもない",2.450,558.000
"18A008",2020.000,2,"商学部","3年生",7,7,"16-20 時間",2,"あまり理解できなかった",2,"不満",3,"どちらでもない",4,"充実している",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",4,"満足",2.550,472.000
"18A009",2020.000,2,"商学部","3年生",4,4,"3-5 時間",4,"よく理解できた",4,"満足",1,"まったくそう思わない",2,"あまり充実していない",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",5,"とても満足",2.920,359.000
"18A010",2020.000,3,"保健学部","3年生",6,4,"3-5 時間",4,"よく理解できた",5,"とても満足",1,"まったくそう思わない",4,"充実している",4,"とてもうまくいった",3,"いくらかうまくいった",5,"とても満足",5,"とても満足",1.200,185.000
"18A011",2020.000,3,"保健学部","3年生",9,3,"1-2 時間",4,"よく理解できた",4,"満足",5,"とてもそう思う",4,"充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",3,"どちらでもない",5,"とても満足",1.060,280.000
"18A012",2020.000,2,"商学部","3年生",5,4,"3-5 時間",4,"よく理解できた",3,"どちらでもない",2,"あまりそう思わない",3,"まあまあ充実している",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",5,"とても満足",1.730,317.000
"18A013",2020.000,2,"商学部","3年生",7,3,"1-2 時間",2,"あまり理解できなかった",2,"不満",3,"どちらでもない",1,"充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",5,"とても満足",4,"満足",2.290,684.000
"18A014",2020.000,2,"商学部","3年生",10,6,"11-15 時間",3,"どちらでもない",3,"どちらでもない",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",2,"あまりうまくいかなかった",2,"不満",2,"不満",3.570,952.000
"18A015",2020.000,1,"文学部","3年生",9,5,"6-10 時間",4,"よく理解できた",4,"満足",3,"どちらでもない",4,"充実している",4,"とてもうまくいった",2,"あまりうまくいかなかった",4,"満足",4,"満足",1.790,607.000
"18A016",2020.000,2,"商学部","3年生",14,8,"20 時間以上",5,"大変よく理解できた",5,"とても満足",5,"とてもそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",4,"とてもうまくいった",5,"とても満足",4,"満足",3.430,507.000
"18A017",2020.000,1,"文学部","3年生",8,4,"3-5 時間",4,"よく理解できた",3,"どちらでもない",4,"ややそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",4,"とてもうまくいった",4,"満足",4,"満足",2.890,578.000
"18A018",2020.000,1,"文学部","3年生",6,7,"16-20 時間",3,"どちらでもない",2,"不満",3,"どちらでもない",3,"まあまあ充実している",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",5,"とても満足",5,"とても満足",2.730,750.000
"18A019",2020.000,2,"商学部","3年生",7,7,"16-20 時間",1,"まったく理解できなかった",2,"不満",4,"ややそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",4,"満足",4,"満足",1.360,515.000
"18A020",2020.000,1,"文学部","3年生",10,8,"20 時間以上",2,"あまり理解できなかった",3,"どちらでもない",4,"ややそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",4,"とてもうまくいった",4,"満足",3,"どちらでもない",2.380,456.000
"18A021",2020.000,1,"文学部","3年生",6,3,"1-2 時間",3,"どちらでもない",4,"満足",1,"まったくそう思わない",4,"充実している",2,"あまりうまくいかなかった",4,"とてもうまくいった",5,"とても満足",4,"満足",2.080,532.000
"18A022",2020.000,2,"商学部","3年生",4,4,"3-5 時間",5,"大変よく理解できた",5,"とても満足",4,"ややそう思う",4,"充実している",3,"いくらかうまくいった",4,"とてもうまくいった",3,"どちらでもない",4,"満足",1.020,223.000
"18A023",2020.000,3,"保健学部","3年生",6,6,"11-15 時間",4,"よく理解できた",3,"どちらでもない",2,"あまりそう思わない",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",2,"不満",5,"とても満足",3.170,731.000
"18A024",2020.000,2,"商学部","3年生",5,6,"11-15 時間",5,"大変よく理解できた",4,"満足",1,"まったくそう思わない",3,"まあまあ充実している",2,"あまりうまくいかなかった",4,"とてもうまくいった",3,"どちらでもない",4,"満足",2.820,334.000
"18A025",2020.000,2,"商学部","3年生",8,7,"16-20 時間",4,"よく理解できた",2,"不満",3,"どちらでもない",4,"充実している",3,"いくらかうまくいった",2,"あまりうまくいかなかった",5,"とても満足",4,"満足",3.610,619.000
"18A026",2020.000,2,"商学部","3年生",7,3,"1-2 時間",4,"よく理解できた",5,"とても満足",1,"まったくそう思わない",3,"まあまあ充実している",4,"とてもうまくいった",4,"とてもうまくいった",3,"どちらでもない",4,"満足",3.870,634.000
"18A027",2020.000,1,"文学部","3年生",11,4,"3-5 時間",5,"大変よく理解できた",5,"とても満足",3,"どちらでもない",4,"充実している",4,"とてもうまくいった",4,"とてもうまくいった",3,"どちらでもない",5,"とても満足",2.970,666.000
"18A028",2020.000,3,"保健学部","3年生",10,7,"16-20 時間",1,"まったく理解できなかった",1,"とても不満",5,"とてもそう思う",4,"充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",5,"とても満足",5,"とても満足",3.140,567.000
"18A029",2020.000,3,"保健学部","3年生",10,5,"6-10 時間",3,"どちらでもない",4,"満足",4,"ややそう思う",4,"充実している",4,"とてもうまくいった",2,"あまりうまくいかなかった",4,"満足",4,"満足",2.920,429.000
"18A030",2020.000,3,"保健学部","3年生",9,5,"6-10 時間",4,"よく理解できた",3,"どちらでもない",2,"あまりそう思わない",4,"充実している",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",4,"満足",4,"満足",2.180,405.000
