Sentence	ID	label	score
"ぼけっとしてたらこんな時間｡チャリあるから食べにでたいのに…"	1	"NEGATIVE"	0.941
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"POSITIVE"	0.948
"早寝するつもりが飲み物がなくなりコンビニへ｡ん､今日、風が涼しいな。"	3	"NEUTRAL"	0.774
"眠い、眠れない。"	4	"NEGATIVE"	0.971
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"NEGATIVE"	0.624
"表情筋が衰えてきてる｡まずいな…"	6	"NEGATIVE"	0.995
"やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。"	7	"POSITIVE"	0.965
"おなかすいた…夜ご飯仲間募集｡"	8	"NEUTRAL"	0.745
"よく寝た。暴走バスの夢見た。からだいたい。"	9	"NEUTRAL"	0.885
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"POSITIVE"	0.931
"月末ミーティング終了｡いつものことだが自分のミーティング力のなさに凹む。もう走り出すしかない。バッティングセンターいこうぜ!"	11	"POSITIVE"	0.828
"COWCOWヨシ君の顔色が最近ずっと悪い。病気ちゃうん?心配やわ。"	12	"NEGATIVE"	0.991
"シャンプーいきたい…"	13	"NEUTRAL"	0.623
"BIGBANGの人がえみちゃんねるにでてた。今、水泳の立石が…似すぎ｡どちらも、生半可に喋りが達者でちょっとウザイ。でも立石なんかすき。"	14	"POSITIVE"	0.554
"久々に自炊した。最近すごくやせたと評判なので、ごはんがすすむおかずをたんと。二膳半たべた。よしっ!"	15	"POSITIVE"	0.981
"雨…（笑）"	16	"NEUTRAL"	0.945
"外反母趾が悪化。なぜ?ヒール止めてるし幅広い靴しか履いてないのに｡本格的に治療すっかな｡"	17	"NEGATIVE"	0.979
"待ち人は来ないのではないかという疑念がふとよぎる｡涼しくなったなぁ｡"	18	"NEGATIVE"	0.871
"昔夢を語った仲間と数年ぶりの再会!相変わらず､だったけど少し大人になっていた僕ら､だった｡それぞれの道で頑張っててきっと色々あるけど、昔みたいに笑える時間が嬉しかった。昔見た未来まであと4年。がんばろ。"	19	"POSITIVE"	0.983
"みんな幸せになったらいいなって、なんか普通にそう思う。日曜と月曜と火曜会った人たちありがとう。また明日からがんばろう｡オヤスミナサイ"	20	"POSITIVE"	0.984
"回鍋肉を作るつもりで何か違うやつになった｡でもウマい!ウマすぎるぜ回鍋肉じゃないやつ!!"	21	"NEUTRAL"	0.483
"朝はパンケーキとサンドイッチ､昼はお弁当とサンドイッチ､夜は回鍋肉とごはんとパンケーキ｡昨日焼いたチョコｹｰｷがもう残り30度…好きなものを好きなときにたべるんだ!明日も焼こ。"	22	"POSITIVE"	0.983
"天地明察みたいな?おもろいんかな?"	23	"NEUTRAL"	0.919
"不確かな夜風が待ち人連れ去りぬ。???ふと､待ち人は来ないのではないかという疑念に駆られる。微かに絡みつく風に、煮え切らない自分の心を見たようで。…うーむ。いいねぇ｡"	24	"NEGATIVE"	0.830
"投げかけたものは返ってくるので､なるべく良いものを投げていたいと思う｡しかし時には叶わないことがある｡そういったとき、自分は試されていると感じる｡そしてたいていの場合､私はその試練に敗ける｡"	25	"NEGATIVE"	0.942
"肉まん、サーモンロール、茶碗蒸し、納豆、シナモンロール｡暇やからって食べ過ぎた…(●´з｀●)"	26	"NEGATIVE"	0.992
"次の月曜の19時から落語観たい人???"	27	"NEUTRAL"	0.589
"ヤバい!2700のBO0WY!!"	28	"POSITIVE"	0.678
"最強の二人、夢売る二人、愛と誠｡観たい映画、メモ…"	29	"POSITIVE"	0.862
"ごくありきたりで俗っぽくて申し訳ないのですが、ミランダ･カーめっちゃ可愛い!めっちゃ好き!いつまでも見てられる…お子様もまたデカくて可愛いんだ!"	30	"POSITIVE"	0.984
"腰をイワしています｡痛み止め飲んでるからか四六時中眠い。いける日は整骨院でほぐしてもらうけど、今日明日休みやん｡テーピングもかゆくなってはがしたし、明日は文字通り丸腰｡夜までもってくれ､腰!"	31	"NEGATIVE"	0.958
"落語…どしよかな…それか映画いこかな。"	32	"NEUTRAL"	0.662
